Index;sexe;Age;Enfant_conduite_accompagne_logique;nombre_enfants_logique;Revenus_intervale;usage_vehicule;type_vehicule;Est_rouge_logique;points_perdus;age_vehicule;type_conduite;date_demande;formule;Tarif_devis_intervale
71;F;4;FAUX;FAUX;75k-100k;Private;z_SUV;FAUX;0;9.0;Highly Urban/ Urban;13/01/2022;dev_integral;301-400
72;M;35;FAUX;FAUX;>125k;Private;z_SUV;FAUX;2;12.0;Highly Urban/ Urban;08/01/2022;dev_express;201-300
73;M;10;FAUX;FAUX;75k-100k;Private;Minivan;VRAI;2;9.0;Highly Urban/ Urban;05/04/2022;dev_integral;201-300
74;F;80;FAUX;VRAI;75k-100k;Private;Minivan;FAUX;2;9.0;z_Highly Rural/ Rural;14/02/2022;dev_premium;401-500
75;M;79;FAUX;FAUX;25k-50k;Private;Pickup;FAUX;0;8.0;Highly Urban/ Urban;14/01/2022;dev_express;201-300
76;F;30;FAUX;FAUX;100k-125k;Private;z_SUV;FAUX;1;18.0;Highly Urban/ Urban;20/04/2022;dev_integral;301-400
77;F;73;FAUX;FAUX;50k-75k;Commercial;Minivan;FAUX;5;1.0;Highly Urban/ Urban;10/05/2022;dev_express;201-300
78;M;52;FAUX;FAUX;25k-50k;Commercial;Panel Truck;FAUX;4;11.0;Highly Urban/ Urban;24/01/2022;dev_premium;301-400
79;F;53;FAUX;FAUX;25k-50k;Private;Minivan;FAUX;4;6.0;Highly Urban/ Urban;01/02/2022;dev_express;201-300
80;M;61;FAUX;FAUX;100k-125k;Private;Minivan;VRAI;1;1.0;Highly Urban/ Urban;20/04/2022;dev_premium;301-400
81;M;83;FAUX;FAUX;<25k;Private;Sports Car;FAUX;0;3.0;z_Highly Rural/ Rural;02/01/2022;dev_express;201-300
82;M;64;FAUX;FAUX;100k-125k;Commercial;Van;VRAI;0;8.0;z_Highly Rural/ Rural;18/02/2022;dev_express;201-300
83;F;64;FAUX;VRAI;25k-50k;Commercial;z_SUV;FAUX;0;4.0;Highly Urban/ Urban;27/04/2022;dev_express;201-300
84;M;64;FAUX;FAUX;<25k;Private;Sports Car;FAUX;1;;z_Highly Rural/ Rural;09/05/2022;dev_express;201-300
85;M;62;FAUX;FAUX;50k-75k;Commercial;Pickup;VRAI;2;8.0;Highly Urban/ Urban;14/01/2022;dev_express;201-300
86;M;41;FAUX;FAUX;25k-50k;Private;Minivan;VRAI;0;9.0;Highly Urban/ Urban;30/03/2022;dev_express;201-300
87;M;53;FAUX;FAUX;;Private;Minivan;FAUX;0;17.0;Highly Urban/ Urban;25/01/2022;dev_premium;401-500
88;F;22;VRAI;VRAI;<25k;Private;z_SUV;FAUX;0;1.0;z_Highly Rural/ Rural;28/05/2022;dev_express;201-300
89;M;49;FAUX;FAUX;25k-50k;Private;Minivan;FAUX;0;13.0;Highly Urban/ Urban;12/02/2022;dev_premium;501-600
90;M;58;FAUX;VRAI;25k-50k;Private;Sports Car;FAUX;0;2.0;z_Highly Rural/ Rural;11/01/2022;dev_integral;201-300
91;M;80;FAUX;FAUX;50k-75k;Commercial;Minivan;FAUX;3;1.0;Highly Urban/ Urban;15/04/2022;dev_express;201-300
92;F;11;FAUX;VRAI;<25k;Private;Minivan;FAUX;1;1.0;Highly Urban/ Urban;28/03/2022;dev_premium;301-400
93;F;5;FAUX;FAUX;75k-100k;Private;Sports Car;FAUX;6;1.0;Highly Urban/ Urban;26/02/2022;dev_premium;401-500
94;M;62;FAUX;FAUX;50k-75k;Private;Van;VRAI;0;1.0;Highly Urban/ Urban;17/01/2022;dev_express;201-300
95;F;70;FAUX;FAUX;50k-75k;Private;Pickup;FAUX;4;11.0;Highly Urban/ Urban;16/04/2022;dev_integral;201-300
96;F;51;FAUX;FAUX;25k-50k;Commercial;Pickup;VRAI;1;5.0;z_Highly Rural/ Rural;12/01/2022;dev_integral;301-400
97;M;61;FAUX;FAUX;25k-50k;Private;Minivan;FAUX;7;1.0;Highly Urban/ Urban;23/03/2022;dev_express;201-300
98;F;36;VRAI;VRAI;50k-75k;Private;Minivan;VRAI;0;6.0;Highly Urban/ Urban;17/04/2022;dev_integral;201-300
99;M;42;FAUX;VRAI;50k-75k;Private;Van;VRAI;1;8.0;Highly Urban/ Urban;05/05/2022;dev_integral;301-400
100;M;19;FAUX;FAUX;50k-75k;Commercial;z_SUV;FAUX;0;1.0;Highly Urban/ Urban;28/02/2022;dev_integral;301-400
101;M;66;FAUX;VRAI;<25k;Commercial;Pickup;FAUX;2;12.0;Highly Urban/ Urban;12/02/2022;dev_integral;301-400
102;F;23;FAUX;VRAI;50k-75k;Private;Minivan;FAUX;0;1.0;Highly Urban/ Urban;07/01/2022;dev_integral;301-400
103;M;52;FAUX;FAUX;100k-125k;Private;Minivan;FAUX;6;11.0;Highly Urban/ Urban;07/01/2022;dev_integral;301-400
104;M;10;FAUX;FAUX;>125k;Commercial;Panel Truck;VRAI;4;17.0;Highly Urban/ Urban;12/01/2022;dev_express;201-300
105;M;61;FAUX;FAUX;50k-75k;Private;Minivan;VRAI;1;12.0;Highly Urban/ Urban;24/05/2022;dev_premium;401-500
106;M;24;FAUX;VRAI;;Commercial;Panel Truck;VRAI;0;14.0;Highly Urban/ Urban;25/03/2022;dev_integral;201-300
107;F;72;VRAI;VRAI;<25k;Private;Minivan;FAUX;0;5.0;Highly Urban/ Urban;02/01/2022;dev_integral;301-400
108;M;40;FAUX;VRAI;50k-75k;Commercial;Minivan;VRAI;1;12.0;z_Highly Rural/ Rural;01/03/2022;dev_integral;301-400
109;F;58;FAUX;VRAI;>125k;Private;Minivan;VRAI;5;11.0;Highly Urban/ Urban;28/01/2022;dev_express;201-300
110;M;91;FAUX;FAUX;<25k;Private;z_SUV;FAUX;0;9.0;Highly Urban/ Urban;29/04/2022;dev_premium;301-400
111;M;53;FAUX;FAUX;50k-75k;Commercial;z_SUV;FAUX;0;9.0;Highly Urban/ Urban;20/01/2022;dev_integral;201-300
112;M;55;VRAI;VRAI;100k-125k;Commercial;Minivan;FAUX;0;12.0;Highly Urban/ Urban;06/05/2022;dev_express;201-300
113;M;69;FAUX;VRAI;<25k;Private;z_SUV;FAUX;0;8.0;Highly Urban/ Urban;14/03/2022;dev_express;201-300
114;F;65;FAUX;VRAI;25k-50k;Commercial;Minivan;FAUX;2;6.0;Highly Urban/ Urban;20/03/2022;dev_express;201-300
115;F;56;FAUX;FAUX;75k-100k;Private;z_SUV;FAUX;0;14.0;Highly Urban/ Urban;18/01/2022;dev_premium;301-400
116;F;52;VRAI;VRAI;<25k;Private;Minivan;FAUX;0;1.0;z_Highly Rural/ Rural;23/01/2022;dev_premium;401-500
117;F;78;VRAI;VRAI;25k-50k;Private;Sports Car;FAUX;0;11.0;z_Highly Rural/ Rural;07/01/2022;dev_express;201-300
118;F;62;VRAI;VRAI;<25k;Private;Pickup;FAUX;0;7.0;Highly Urban/ Urban;02/01/2022;dev_integral;301-400
119;M;9;VRAI;VRAI;50k-75k;Commercial;Sports Car;FAUX;2;1.0;Highly Urban/ Urban;23/05/2022;dev_integral;301-400
120;M;4;FAUX;FAUX;75k-100k;Private;Minivan;FAUX;0;15.0;Highly Urban/ Urban;29/05/2022;dev_integral;301-400
121;M;70;FAUX;FAUX;<25k;Private;z_SUV;FAUX;0;13.0;z_Highly Rural/ Rural;09/02/2022;dev_integral;301-400
122;M;57;FAUX;VRAI;75k-100k;Private;Minivan;VRAI;2;11.0;Highly Urban/ Urban;17/02/2022;dev_express;201-300
123;M;70;FAUX;FAUX;100k-125k;Private;z_SUV;FAUX;0;12.0;Highly Urban/ Urban;06/05/2022;dev_integral;301-400
124;F;49;FAUX;FAUX;50k-75k;Private;Pickup;VRAI;0;11.0;Highly Urban/ Urban;25/01/2022;dev_integral;301-400
125;F;29;FAUX;VRAI;25k-50k;Private;Van;FAUX;4;9.0;Highly Urban/ Urban;01/01/2022;dev_integral;301-400
126;M;33;FAUX;FAUX;75k-100k;Private;Minivan;FAUX;0;8.0;Highly Urban/ Urban;02/04/2022;dev_integral;201-300
127;M;69;FAUX;FAUX;100k-125k;Private;Minivan;FAUX;2;1.0;Highly Urban/ Urban;14/04/2022;dev_integral;201-300
128;M;17;FAUX;FAUX;<25k;Commercial;Minivan;VRAI;7;1.0;z_Highly Rural/ Rural;07/03/2022;dev_express;201-300
129;M;21;FAUX;FAUX;50k-75k;Commercial;Sports Car;FAUX;1;;Highly Urban/ Urban;04/04/2022;dev_premium;501-600
130;M;59;FAUX;FAUX;>125k;Private;Minivan;FAUX;1;13.0;Highly Urban/ Urban;20/04/2022;dev_express;201-300
131;F;70;FAUX;VRAI;<25k;Private;Sports Car;FAUX;0;13.0;Highly Urban/ Urban;25/02/2022;dev_express;201-300
132;F;71;FAUX;VRAI;25k-50k;Private;Minivan;FAUX;8;9.0;Highly Urban/ Urban;28/05/2022;dev_vip;601-700
133;M;9;FAUX;VRAI;<25k;Private;z_SUV;FAUX;0;1.0;z_Highly Rural/ Rural;18/03/2022;dev_express;201-300
134;M;56;FAUX;FAUX;25k-50k;Private;Minivan;VRAI;3;5.0;Highly Urban/ Urban;25/02/2022;dev_express;201-300
135;F;5;VRAI;VRAI;25k-50k;Private;z_SUV;FAUX;0;9.0;Highly Urban/ Urban;08/04/2022;dev_integral;201-300
136;F;91;FAUX;VRAI;75k-100k;Private;Minivan;FAUX;0;16.0;Highly Urban/ Urban;01/05/2022;dev_integral;301-400
137;M;12;FAUX;FAUX;25k-50k;Commercial;Van;VRAI;2;15.0;Highly Urban/ Urban;27/03/2022;dev_integral;301-400
138;M;36;VRAI;VRAI;>125k;Commercial;Van;FAUX;4;9.0;Highly Urban/ Urban;11/05/2022;dev_express;201-300
139;M;52;FAUX;VRAI;25k-50k;Commercial;z_SUV;FAUX;4;1.0;Highly Urban/ Urban;31/05/2022;dev_express;201-300
140;F;46;FAUX;VRAI;;Private;Sports Car;FAUX;6;7.0;Highly Urban/ Urban;24/04/2022;dev_premium;501-600
141;M;51;FAUX;FAUX;75k-100k;Commercial;Sports Car;FAUX;2;9.0;Highly Urban/ Urban;06/03/2022;dev_integral;301-400
142;F;52;FAUX;FAUX;100k-125k;Private;Minivan;FAUX;0;9.0;Highly Urban/ Urban;18/02/2022;dev_integral;201-300
143;F;6;FAUX;VRAI;>125k;Private;Pickup;VRAI;0;12.0;Highly Urban/ Urban;05/01/2022;dev_integral;301-400
144;M;82;FAUX;FAUX;25k-50k;Private;z_SUV;FAUX;5;15.0;Highly Urban/ Urban;19/02/2022;dev_premium;501-600
145;M;87;FAUX;VRAI;<25k;Commercial;z_SUV;FAUX;7;;Highly Urban/ Urban;21/05/2022;dev_express;201-300
146;M;51;FAUX;FAUX;25k-50k;Private;z_SUV;FAUX;2;11.0;Highly Urban/ Urban;13/05/2022;dev_express;201-300
147;M;62;FAUX;FAUX;75k-100k;Private;z_SUV;FAUX;0;7.0;Highly Urban/ Urban;20/02/2022;dev_integral;301-400
148;M;41;VRAI;VRAI;<25k;Private;z_SUV;FAUX;1;10.0;z_Highly Rural/ Rural;16/04/2022;dev_integral;201-300
149;F;72;FAUX;FAUX;75k-100k;Private;z_SUV;FAUX;0;19.0;Highly Urban/ Urban;03/03/2022;dev_integral;201-300
150;F;76;FAUX;FAUX;75k-100k;Private;Minivan;FAUX;0;15.0;z_Highly Rural/ Rural;26/02/2022;dev_express;201-300
151;M;77;FAUX;FAUX;25k-50k;Private;Minivan;FAUX;0;10.0;Highly Urban/ Urban;19/02/2022;dev_integral;301-400
152;F;64;FAUX;FAUX;50k-75k;Private;z_SUV;FAUX;2;5.0;Highly Urban/ Urban;05/03/2022;dev_express;201-300
153;F;61;FAUX;VRAI;;Private;Minivan;VRAI;3;1.0;Highly Urban/ Urban;11/01/2022;dev_express;201-300
154;M;31;FAUX;FAUX;25k-50k;Private;Minivan;FAUX;1;4.0;Highly Urban/ Urban;25/03/2022;dev_express;201-300
155;F;75;FAUX;VRAI;25k-50k;Commercial;Pickup;VRAI;0;9.0;z_Highly Rural/ Rural;22/02/2022;dev_integral;201-300
156;M;82;VRAI;VRAI;>125k;Commercial;Van;VRAI;0;12.0;Highly Urban/ Urban;14/01/2022;dev_integral;301-400
157;F;68;FAUX;VRAI;<25k;Private;Sports Car;FAUX;5;4.0;Highly Urban/ Urban;08/04/2022;dev_express;201-300
158;M;72;FAUX;FAUX;75k-100k;Private;Pickup;FAUX;0;15.0;Highly Urban/ Urban;17/04/2022;dev_integral;301-400
159;M;84;FAUX;FAUX;100k-125k;Commercial;Minivan;VRAI;0;9.0;z_Highly Rural/ Rural;14/05/2022;dev_integral;301-400
160;M;65;FAUX;FAUX;75k-100k;Commercial;z_SUV;FAUX;6;1.0;Highly Urban/ Urban;02/02/2022;dev_integral;201-300
161;M;69;VRAI;VRAI;75k-100k;Private;Sports Car;FAUX;0;8.0;Highly Urban/ Urban;21/05/2022;dev_integral;201-300
162;M;32;FAUX;FAUX;100k-125k;Private;z_SUV;FAUX;2;12.0;Highly Urban/ Urban;09/03/2022;dev_premium;401-500
163;F;48;VRAI;VRAI;>125k;Private;Minivan;FAUX;1;12.0;z_Highly Rural/ Rural;27/02/2022;dev_integral;301-400
164;F;71;FAUX;VRAI;25k-50k;Private;Minivan;FAUX;0;14.0;Highly Urban/ Urban;03/04/2022;dev_integral;301-400
165;F;54;FAUX;FAUX;<25k;Private;Sports Car;FAUX;1;8.0;z_Highly Rural/ Rural;02/04/2022;dev_express;201-300
166;F;51;VRAI;VRAI;<25k;Private;Minivan;FAUX;1;1.0;Highly Urban/ Urban;08/04/2022;dev_express;201-300
167;F;91;FAUX;VRAI;50k-75k;Private;Sports Car;FAUX;0;17.0;Highly Urban/ Urban;31/05/2022;dev_integral;201-300
168;F;23;FAUX;VRAI;25k-50k;Commercial;Pickup;VRAI;0;4.0;Highly Urban/ Urban;16/05/2022;dev_integral;201-300
169;F;56;FAUX;FAUX;100k-125k;Commercial;Panel Truck;FAUX;1;;Highly Urban/ Urban;22/04/2022;dev_integral;201-300
170;F;73;FAUX;FAUX;25k-50k;Commercial;z_SUV;FAUX;2;11.0;Highly Urban/ Urban;30/05/2022;dev_integral;301-400
171;M;39;FAUX;VRAI;75k-100k;Private;Pickup;VRAI;1;11.0;Highly Urban/ Urban;01/02/2022;dev_express;201-300
172;F;29;FAUX;FAUX;<25k;Commercial;Minivan;FAUX;2;1.0;Highly Urban/ Urban;31/05/2022;dev_integral;301-400
173;M;56;FAUX;FAUX;75k-100k;Commercial;Minivan;FAUX;0;11.0;z_Highly Rural/ Rural;16/02/2022;dev_integral;301-400
174;F;50;FAUX;VRAI;50k-75k;Private;Minivan;VRAI;0;20.0;Highly Urban/ Urban;21/05/2022;dev_integral;301-400
175;M;53;FAUX;FAUX;<25k;Private;z_SUV;FAUX;2;1.0;Highly Urban/ Urban;26/04/2022;dev_express;201-300
176;M;76;FAUX;FAUX;100k-125k;Commercial;Pickup;FAUX;6;;Highly Urban/ Urban;14/01/2022;dev_integral;201-300
177;F;58;FAUX;FAUX;<25k;Commercial;Van;FAUX;0;12.0;Highly Urban/ Urban;16/02/2022;dev_express;201-300
178;M;30;FAUX;FAUX;;Private;Sports Car;FAUX;0;16.0;Highly Urban/ Urban;01/01/2022;dev_express;201-300
179;M;63;FAUX;VRAI;<25k;Private;z_SUV;FAUX;0;1.0;z_Highly Rural/ Rural;14/01/2022;dev_integral;201-300
180;F;55;FAUX;VRAI;25k-50k;Commercial;Van;VRAI;0;6.0;Highly Urban/ Urban;10/05/2022;dev_premium;501-600
181;F;82;FAUX;FAUX;50k-75k;Commercial;Pickup;FAUX;1;;Highly Urban/ Urban;02/05/2022;dev_express;201-300
182;F;25;VRAI;VRAI;25k-50k;Commercial;Van;FAUX;1;6.0;z_Highly Rural/ Rural;10/02/2022;dev_express;201-300
183;M;53;FAUX;FAUX;>125k;Commercial;Panel Truck;VRAI;0;13.0;z_Highly Rural/ Rural;08/01/2022;dev_integral;301-400
184;F;85;FAUX;FAUX;100k-125k;Private;Van;VRAI;0;10.0;Highly Urban/ Urban;12/01/2022;dev_premium;301-400
185;F;68;FAUX;FAUX;<25k;Private;Pickup;VRAI;1;1.0;Highly Urban/ Urban;27/05/2022;dev_express;201-300
186;M;23;VRAI;VRAI;25k-50k;Commercial;z_SUV;FAUX;6;5.0;Highly Urban/ Urban;10/04/2022;dev_premium;401-500
187;F;66;FAUX;FAUX;<25k;Private;z_SUV;FAUX;0;1.0;Highly Urban/ Urban;23/03/2022;dev_integral;301-400
188;F;20;FAUX;VRAI;<25k;Private;z_SUV;FAUX;0;9.0;Highly Urban/ Urban;24/05/2022;dev_integral;301-400
189;F;70;FAUX;FAUX;<25k;Private;z_SUV;FAUX;0;1.0;Highly Urban/ Urban;05/01/2022;dev_premium;401-500
190;F;11;FAUX;FAUX;75k-100k;Private;Minivan;FAUX;0;11.0;Highly Urban/ Urban;17/05/2022;dev_vip;501-600
191;M;48;FAUX;FAUX;75k-100k;Commercial;Van;VRAI;5;;Highly Urban/ Urban;30/05/2022;dev_express;201-300
192;M;6;FAUX;FAUX;25k-50k;Private;Sports Car;FAUX;3;1.0;Highly Urban/ Urban;25/01/2022;dev_premium;401-500
193;F;67;FAUX;FAUX;100k-125k;Private;Sports Car;FAUX;0;7.0;z_Highly Rural/ Rural;30/01/2022;dev_integral;301-400
194;F;28;FAUX;FAUX;50k-75k;Commercial;Panel Truck;FAUX;1;1.0;Highly Urban/ Urban;04/01/2022;dev_premium;401-500
195;F;51;FAUX;FAUX;>125k;Private;z_SUV;FAUX;0;15.0;Highly Urban/ Urban;11/02/2022;dev_integral;301-400
196;F;66;FAUX;VRAI;50k-75k;Private;Sports Car;FAUX;3;7.0;Highly Urban/ Urban;07/04/2022;dev_premium;301-400
197;F;54;FAUX;VRAI;50k-75k;Private;Minivan;FAUX;4;17.0;Highly Urban/ Urban;09/02/2022;dev_express;201-300
