id_client;sexe;date_naissance;enfant_conduite_accompagne;nombre_enfants;revenus;usage_vehicule;type_vehicule;est_rouge;points_perdus;age_vehicule;type_conduite;date_demande;etat_dossier;formule;tarif_devis
922808394;F;1978-10-31;0;0;76443;Private;z_SUV;no;5;;Highly Urban/ Urban;2022-04-22 03:39:47;complet;dev_integral;282.37
934739805;F;1969-02-06;0;0;59148;Private;z_SUV;no;0;1.0;Highly Urban/ Urban;2022-03-23 22:44:16;complet;dev_vip;871.83
290532681;F;2006-09-16;0;0;108701;Private;z_SUV;no;0;17.0;Highly Urban/ Urban;2022-02-12 20:23:14;complet;dev_premium;351.23
334788395;F;1974-08-31;0;2;36947;Private;z_SUV;no;0;1.0;Highly Urban/ Urban;2022-01-14 07:11:19;complet;dev_express;257.94
645904097;M;1984-08-20;0;2;27581;Commercial;Minivan;yes;6;5.0;z_Highly Rural/ Rural;2022-04-09 11:49:01;complet;dev_integral;320.63
160311489;F;1957-07-27;0;0;116043;Private;z_SUV;no;3;9.0;Highly Urban/ Urban;2022-03-23 06:12:09;complet;dev_express;257.69
944419063;M;2018-02-27;0;0;32159;Private;z_SUV;no;2;6.0;z_Highly Rural/ Rural;2022-02-04 17:14:57;complet;dev_premium;406.26
594467420;M;1978-05-14;1;2;74022;Private;Sports Car;no;0;12.0;Highly Urban/ Urban;2022-02-05 18:50:01;complet;dev_express;269.0
999482663;F;1954-09-11;0;0;22633;Private;z_SUV;no;0;9.0;Highly Urban/ Urban;2022-02-08 09:59:30;complet;dev_integral;302.56
125992610;F;1961-09-16;0;0;33713;Commercial;Sports Car;no;0;15.0;Highly Urban/ Urban;2022-02-06 22:30:39;complet;dev_express;264.33
294957776;F;2016-04-22;0;3;94325;Private;z_SUV;no;2;14.0;Highly Urban/ Urban;2022-02-09 14:28:28;complet;dev_integral;284.9
234108296;F;1967-04-29;0;0;157237;Private;Minivan;no;0;15.0;Highly Urban/ Urban;2022-05-26 21:39:06;complet;dev_integral;280.03
858966351;M;1988-06-21;0;0;51737;Private;z_SUV;no;1;11.0;z_Highly Rural/ Rural;2022-03-04 15:36:05;complet;dev_premium;416.72
737298009;F;2004-02-17;2;2;;Private;Sports Car;no;0;10.0;Highly Urban/ Urban;2022-05-31 13:11:08;complet;dev_express;260.27
716232766;F;1937-06-12;0;4;4478;Private;z_SUV;no;5;8.0;Highly Urban/ Urban;2022-04-30 23:20:28;complet;dev_express;257.99
137443614;M;1963-12-06;0;1;5952;Commercial;Pickup;yes;0;10.0;Highly Urban/ Urban;2022-03-20 04:00:15;complet;dev_express;260.17
417088161;F;1965-03-15;1;2;52950;Private;Pickup;yes;0;;Highly Urban/ Urban;2022-04-02 11:25:10;complet;dev_premium;417.16
976068152;M;1970-11-18;0;0;75432;Private;z_SUV;no;0;13.0;Highly Urban/ Urban;2022-01-02 20:05:48;complet;dev_integral;324.91
786289554;F;1957-03-17;0;0;97103;Private;z_SUV;no;4;15.0;Highly Urban/ Urban;2022-02-24 21:52:11;complet;dev_express;262.87
16380140;M;1946-03-10;0;1;0;Private;z_SUV;no;1;1.0;Highly Urban/ Urban;2022-04-05 02:47:59;complet;dev_express;278.71
443540965;F;1981-06-22;0;0;140766;Commercial;Panel Truck;yes;1;13.0;Highly Urban/ Urban;2022-02-21 11:50:32;complet;dev_integral;309.66
380033719;M;1945-09-30;0;0;80997;Commercial;Van;yes;0;7.0;Highly Urban/ Urban;2022-03-21 00:37:40;complet;dev_integral;281.99
490636474;F;1984-05-10;1;2;54159;Private;Van;yes;1;1.0;z_Highly Rural/ Rural;2022-04-03 12:30:15;complet;dev_integral;295.63
220536762;F;1998-01-24;0;0;28341;Commercial;Pickup;yes;7;1.0;Highly Urban/ Urban;2022-03-28 23:57:50;complet;dev_integral;311.33
466727453;F;1974-06-04;0;3;46453;Private;Minivan;no;1;5.0;Highly Urban/ Urban;2022-03-21 07:59:29;complet;dev_express;272.78
670054779;M;2003-09-19;0;0;100822;Private;Minivan;no;0;7.0;Highly Urban/ Urban;2022-05-23 09:33:05;complet;dev_express;283.84
303541974;F;1975-08-24;0;0;57063;Private;Sports Car;no;0;19.0;Highly Urban/ Urban;2022-05-03 20:20:41;complet;dev_express;278.62
522831508;F;2016-12-26;0;0;76150;Commercial;Minivan;no;5;8.0;z_Highly Rural/ Rural;2022-04-11 14:51:15;complet;dev_express;266.25
185382071;M;1974-01-05;0;0;77012;Private;Van;no;0;13.0;Highly Urban/ Urban;2022-01-05 09:29:53;complet;dev_premium;374.18
296809989;F;1967-03-26;0;1;45105;Commercial;Van;yes;4;9.0;Highly Urban/ Urban;2022-05-14 13:46:00;complet;dev_integral;293.0
176300530;M;1990-04-02;0;0;69625;Private;z_SUV;no;2;12.0;Highly Urban/ Urban;2022-04-20 10:04:08;complet;dev_express;255.32
105813423;F;1950-07-20;1;3;30043;Private;Van;yes;0;1.0;Highly Urban/ Urban;2022-01-22 11:01:49;complet;dev_express;267.14
305504579;F;1992-06-27;1;2;34116;Private;Sports Car;no;1;7.0;Highly Urban/ Urban;2022-04-26 16:17:11;complet;dev_express;254.03
726219892;F;1950-12-05;0;0;86596;Private;Minivan;no;0;16.0;Highly Urban/ Urban;2022-03-23 15:45:03;complet;dev_integral;298.3
790543950;F;1968-09-19;0;0;40760;Private;Pickup;no;0;8.0;Highly Urban/ Urban;2022-04-27 03:37:13;complet;dev_express;259.8
317314544;F;1952-09-21;0;2;68493;Commercial;Van;no;0;5.0;Highly Urban/ Urban;2022-05-24 02:44:42;complet;dev_integral;289.65
992004739;F;1942-12-30;0;1;25544;Private;Sports Car;no;0;1.0;Highly Urban/ Urban;2022-05-09 23:43:14;complet;dev_express;252.04
845009116;F;2019-05-24;0;0;16536;Private;z_SUV;no;0;6.0;Highly Urban/ Urban;2022-04-22 08:38:06;complet;dev_integral;284.73
143078256;M;1972-08-20;0;0;65298;Private;z_SUV;no;5;1.0;Highly Urban/ Urban;2022-05-17 07:36:25;complet;dev_express;253.32
437006760;M;1954-04-27;0;0;83569;Private;Pickup;no;0;7.0;Highly Urban/ Urban;2022-05-01 22:37:09;complet;dev_express;266.0
788829442;M;1972-05-05;0;0;5420;Private;Minivan;no;3;5.0;z_Highly Rural/ Rural;2022-05-29 10:50:34;complet;dev_express;258.13
665180201;M;1950-12-31;0;1;23109;Private;z_SUV;yes;2;13.0;Highly Urban/ Urban;2022-04-04 09:48:20;complet;dev_express;259.15
554270628;F;1999-01-31;0;0;85731;Commercial;Pickup;no;1;3.0;Highly Urban/ Urban;2022-01-27 21:31:36;complet;dev_integral;303.74
323105809;F;2019-10-30;0;0;77267;Private;z_SUV;no;0;9.0;Highly Urban/ Urban;2022-01-13 03:29:34;complet;dev_integral;304.33
316861921;M;1988-11-15;0;0;198600;Private;z_SUV;no;2;12.0;Highly Urban/ Urban;2022-01-08 11:18:24;complet;dev_express;272.22
279632339;M;2013-12-06;0;0;94082;Private;Minivan;yes;2;9.0;Highly Urban/ Urban;2022-04-05 09:02:25;complet;dev_integral;289.83
954212606;F;1943-02-23;0;2;77222;Private;Minivan;no;2;9.0;z_Highly Rural/ Rural;2022-02-14 02:00:18;complet;dev_premium;481.13
1900527;M;1944-08-11;0;0;48866;Private;Pickup;no;0;8.0;Highly Urban/ Urban;2022-01-14 13:12:49;complet;dev_express;250.31
958601721;F;1993-11-20;0;0;114507;Private;z_SUV;no;1;18.0;Highly Urban/ Urban;2022-04-20 02:38:57;complet;dev_integral;312.28
827178489;F;1950-12-02;0;0;70682;Commercial;Minivan;no;5;1.0;Highly Urban/ Urban;2022-05-10 13:40:32;complet;dev_express;270.62
194669970;M;1971-08-09;0;0;40862;Commercial;Panel Truck;no;4;11.0;Highly Urban/ Urban;2022-01-24 17:35:29;complet;dev_premium;387.55
640048389;F;1970-11-25;0;0;47625;Private;Minivan;no;4;6.0;Highly Urban/ Urban;2022-02-01 04:48:31;complet;dev_express;250.56
606191446;M;1962-08-21;0;0;113845;Private;Minivan;yes;1;1.0;Highly Urban/ Urban;2022-04-20 07:29:52;complet;dev_premium;365.92
664499270;M;1940-04-26;0;0;5109;Private;Sports Car;no;0;3.0;z_Highly Rural/ Rural;2022-01-02 10:07:51;complet;dev_express;262.36
642975749;M;1959-10-13;0;0;102262;Commercial;Van;yes;0;8.0;z_Highly Rural/ Rural;2022-02-18 08:51:16;complet;dev_express;277.09
542062164;F;1959-07-04;0;1;39584;Commercial;z_SUV;no;0;4.0;Highly Urban/ Urban;2022-04-27 19:14:40;complet;dev_express;259.21
270119970;M;1959-12-11;0;0;13753;Private;Sports Car;no;1;;z_Highly Rural/ Rural;2022-05-09 03:37:15;complet;dev_express;250.69
752309500;M;1961-11-27;0;0;57134;Commercial;Pickup;yes;2;8.0;Highly Urban/ Urban;2022-01-14 21:13:17;complet;dev_express;283.5
296960793;M;1982-01-29;0;0;49838;Private;Minivan;yes;0;9.0;Highly Urban/ Urban;2022-03-30 13:20:35;complet;dev_express;263.27
377628766;M;1970-05-16;0;0;;Private;Minivan;no;0;17.0;Highly Urban/ Urban;2022-01-25 00:58:49;complet;dev_premium;467.09
109627178;F;2001-04-24;1;2;22938;Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;2022-05-28 07:13:31;complet;dev_express;256.57
314006147;M;1974-03-16;0;0;47417;Private;Minivan;no;0;13.0;Highly Urban/ Urban;2022-02-12 08:10:42;complet;dev_premium;546.4
329152754;M;1965-11-23;0;2;40180;Private;Sports Car;no;0;2.0;z_Highly Rural/ Rural;2022-01-11 16:57:31;complet;dev_integral;281.17
251851062;M;1943-08-13;0;0;55258;Commercial;Minivan;no;3;1.0;Highly Urban/ Urban;2022-04-15 05:20:26;complet;dev_express;268.99
938303236;F;2012-08-22;0;1;24178;Private;Minivan;no;1;1.0;Highly Urban/ Urban;2022-03-28 10:41:36;complet;dev_premium;363.96
134426064;F;2018-07-01;0;0;81940;Private;Sports Car;no;6;1.0;Highly Urban/ Urban;2022-02-26 21:26:35;complet;dev_premium;466.36
448101140;M;1961-08-28;0;0;51624;Private;Van;yes;0;1.0;Highly Urban/ Urban;2022-01-17 08:39:03;complet;dev_express;268.35
809433095;F;1953-11-27;0;0;61666;Private;Pickup;no;4;11.0;Highly Urban/ Urban;2022-04-16 00:13:11;complet;dev_integral;289.43
943460621;F;1972-02-05;0;0;37721;Commercial;Pickup;yes;1;5.0;z_Highly Rural/ Rural;2022-01-12 03:39:07;complet;dev_integral;300.42
426770568;M;1962-01-31;0;0;32265;Private;Minivan;no;7;1.0;Highly Urban/ Urban;2022-03-23 01:48:58;complet;dev_express;269.18
877092530;F;1987-07-24;1;3;57925;Private;Minivan;yes;0;6.0;Highly Urban/ Urban;2022-04-17 15:27:11;complet;dev_integral;289.01
300696853;M;1981-03-11;0;2;65901;Private;Van;yes;1;8.0;Highly Urban/ Urban;2022-05-05 04:13:46;complet;dev_integral;336.96
819681380;M;2004-11-01;0;0;64617;Commercial;z_SUV;no;0;1.0;Highly Urban/ Urban;2022-02-28 07:30:01;complet;dev_integral;326.68
915517588;M;1957-02-02;0;2;10758;Commercial;Pickup;no;2;12.0;Highly Urban/ Urban;2022-02-12 17:39:26;complet;dev_integral;311.52
131312301;F;2000-01-07;0;1;58184;Private;Minivan;no;0;1.0;Highly Urban/ Urban;2022-01-07 19:37:36;complet;dev_integral;316.17
861285967;M;1971-02-14;0;0;122934;Private;Minivan;no;6;11.0;Highly Urban/ Urban;2022-01-07 13:02:23;complet;dev_integral;302.17
918559086;M;2013-01-31;0;0;210811;Commercial;Panel Truck;yes;4;17.0;Highly Urban/ Urban;2022-01-12 00:08:50;complet;dev_express;280.21
64779757;M;1962-07-24;0;0;73056;Private;Minivan;yes;1;12.0;Highly Urban/ Urban;2022-05-24 14:39:09;complet;dev_premium;446.55
281256236;M;1999-07-04;0;2;;Commercial;Panel Truck;yes;0;14.0;Highly Urban/ Urban;2022-03-25 12:49:02;complet;dev_integral;296.83
528698470;F;1951-10-31;1;1;19237;Private;Minivan;no;0;5.0;Highly Urban/ Urban;2022-01-02 00:52:24;complet;dev_integral;338.3
643171611;M;1983-04-24;0;3;69483;Commercial;Minivan;yes;1;12.0;z_Highly Rural/ Rural;2022-03-01 04:35:43;complet;dev_integral;318.54
430670098;F;1965-09-25;0;2;132463;Private;Minivan;yes;5;11.0;Highly Urban/ Urban;2022-01-28 11:20:20;complet;dev_express;268.71
64308498;M;1932-05-18;0;0;13692;Private;z_SUV;no;0;9.0;Highly Urban/ Urban;2022-04-29 08:01:10;complet;dev_premium;368.88
937660052;M;1970-01-14;0;0;71263;Commercial;z_SUV;no;0;9.0;Highly Urban/ Urban;2022-01-20 00:10:54;complet;dev_integral;283.7
994894155;M;1968-06-18;1;1;109631;Commercial;Minivan;no;0;12.0;Highly Urban/ Urban;2022-05-06 14:07:50;complet;dev_express;257.9
384934557;M;1954-09-13;0;1;6478;Private;z_SUV;no;0;8.0;Highly Urban/ Urban;2022-03-14 17:19:58;complet;dev_express;262.95
726538399;F;1958-09-14;0;1;48088;Commercial;Minivan;no;2;6.0;Highly Urban/ Urban;2022-03-20 10:44:08;complet;dev_express;284.02
233104477;F;1967-05-09;0;0;90295;Private;z_SUV;no;0;14.0;Highly Urban/ Urban;2022-01-18 01:43:26;complet;dev_premium;348.22
91970915;F;1971-11-18;1;2;21873;Private;Minivan;no;0;1.0;z_Highly Rural/ Rural;2022-01-23 11:52:51;complet;dev_premium;483.26
427973991;F;1945-05-04;1;2;44224;Private;Sports Car;no;0;11.0;z_Highly Rural/ Rural;2022-01-07 23:42:14;complet;dev_express;274.9
44950663;F;1961-11-05;2;3;12284;Private;Pickup;no;0;7.0;Highly Urban/ Urban;2022-01-02 23:14:48;complet;dev_integral;306.52
299869772;M;2014-11-03;2;2;57379;Commercial;Sports Car;no;2;1.0;Highly Urban/ Urban;2022-05-23 03:25:45;complet;dev_integral;339.12
693292141;M;2019-10-08;0;0;78796;Private;Minivan;no;0;15.0;Highly Urban/ Urban;2022-05-29 09:22:38;complet;dev_integral;312.73
405093473;M;1953-02-06;0;0;0;Private;z_SUV;no;0;13.0;z_Highly Rural/ Rural;2022-02-09 09:54:45;complet;dev_integral;317.97
141677056;M;1966-05-31;0;1;91898;Private;Minivan;yes;2;11.0;Highly Urban/ Urban;2022-02-17 21:50:53;complet;dev_express;271.71
111008804;M;1953-03-20;0;0;106944;Private;z_SUV;no;0;12.0;Highly Urban/ Urban;2022-05-06 08:05:25;complet;dev_integral;322.69
994001102;F;1974-12-18;0;0;66196;Private;Pickup;yes;0;11.0;Highly Urban/ Urban;2022-01-25 10:57:34;complet;dev_integral;332.12
570595259;F;1994-04-14;0;2;26840;Private;Van;no;4;9.0;Highly Urban/ Urban;2022-01-01 10:42:24;complet;dev_integral;332.07
700098445;M;1990-03-04;0;0;95076;Private;Minivan;no;0;8.0;Highly Urban/ Urban;2022-04-02 23:05:22;complet;dev_integral;292.8
778020709;M;1954-08-17;0;0;105299;Private;Minivan;no;2;1.0;Highly Urban/ Urban;2022-04-14 03:03:58;complet;dev_integral;294.25
470060990;M;2006-10-08;0;0;0;Commercial;Minivan;yes;7;1.0;z_Highly Rural/ Rural;2022-03-07 01:04:39;complet;dev_express;269.87
892231761;M;2002-04-10;0;0;58453;Commercial;Sports Car;no;1;;Highly Urban/ Urban;2022-04-04 21:37:30;complet;dev_premium;504.98
134794189;M;1964-07-13;0;0;135116;Private;Minivan;no;1;13.0;Highly Urban/ Urban;2022-04-20 04:58:44;complet;dev_express;254.88
457695790;F;1953-12-12;0;2;0;Private;Sports Car;no;0;13.0;Highly Urban/ Urban;2022-02-25 11:43:53;complet;dev_express;260.4
860428575;F;1952-05-23;0;1;36708;Private;Minivan;no;8;9.0;Highly Urban/ Urban;2022-05-28 00:32:29;complet;dev_vip;634.21
957086884;M;2014-09-22;0;3;5628;Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;2022-03-18 05:26:00;complet;dev_express;254.78
422758152;M;1967-09-24;0;0;27546;Private;Minivan;yes;3;5.0;Highly Urban/ Urban;2022-02-25 19:06:15;complet;dev_express;253.91
160730761;F;2018-12-05;1;1;49120;Private;z_SUV;no;0;9.0;Highly Urban/ Urban;2022-04-08 14:50:30;complet;dev_integral;282.62
340247899;F;1932-04-10;0;1;93925;Private;Minivan;no;0;16.0;Highly Urban/ Urban;2022-05-01 13:47:03;complet;dev_integral;305.95
280963492;M;2011-03-07;0;0;49978;Commercial;Van;yes;2;15.0;Highly Urban/ Urban;2022-03-27 09:47:05;complet;dev_integral;339.55
578768750;M;1987-07-16;3;3;128895;Commercial;Van;no;4;9.0;Highly Urban/ Urban;2022-05-11 02:14:17;complet;dev_express;269.57
602256369;M;1971-08-17;0;2;45299;Commercial;z_SUV;no;4;1.0;Highly Urban/ Urban;2022-05-31 03:31:23;complet;dev_express;276.1
422175609;F;1977-03-31;0;4;;Private;Sports Car;no;6;7.0;Highly Urban/ Urban;2022-04-24 23:44:48;complet;dev_premium;517.22
339409075;M;1972-05-29;0;0;88632;Commercial;Sports Car;no;2;9.0;Highly Urban/ Urban;2022-03-06 04:31:21;complet;dev_integral;301.41
576718540;F;1971-08-18;0;0;112804;Private;Minivan;no;0;9.0;Highly Urban/ Urban;2022-02-18 17:27:16;complet;dev_integral;295.29
366128758;F;2017-04-29;0;2;146202;Private;Pickup;yes;0;12.0;Highly Urban/ Urban;2022-01-05 05:06:12;complet;dev_integral;322.81
37461363;M;1941-06-20;0;0;46781;Private;z_SUV;no;5;15.0;Highly Urban/ Urban;2022-02-19 05:07:40;complet;dev_premium;544.57
444126807;M;1936-05-01;0;2;0;Commercial;z_SUV;no;7;;Highly Urban/ Urban;2022-05-21 17:06:44;complet;dev_express;273.72
37848520;M;1972-07-18;0;0;28299;Private;z_SUV;no;2;11.0;Highly Urban/ Urban;2022-05-13 05:41:36;complet;dev_express;267.85
736718418;M;1961-11-18;0;0;82130;Private;z_SUV;no;0;7.0;Highly Urban/ Urban;2022-02-20 18:23:57;complet;dev_integral;322.43
391209907;M;1982-07-19;1;3;24672;Private;z_SUV;no;1;10.0;z_Highly Rural/ Rural;2022-04-16 08:28:15;complet;dev_integral;289.44
993821847;F;1951-03-22;0;0;94641;Private;z_SUV;no;0;19.0;Highly Urban/ Urban;2022-03-03 11:37:05;complet;dev_integral;283.43
733443011;F;1947-12-22;0;0;99100;Private;Minivan;no;0;15.0;z_Highly Rural/ Rural;2022-02-26 20:58:16;complet;dev_express;273.35
463293999;M;1946-04-19;0;0;48263;Private;Minivan;no;0;10.0;Highly Urban/ Urban;2022-02-19 07:35:30;complet;dev_integral;337.72
865839595;F;1959-08-24;0;0;61407;Private;z_SUV;no;2;5.0;Highly Urban/ Urban;2022-03-05 12:14:43;complet;dev_express;267.54
676767970;F;1962-09-28;0;2;;Private;Minivan;yes;3;1.0;Highly Urban/ Urban;2022-01-11 23:53:26;complet;dev_express;256.25
577235524;M;1992-04-07;0;0;31096;Private;Minivan;no;1;4.0;Highly Urban/ Urban;2022-03-25 21:08:25;complet;dev_express;258.99
325267397;F;1948-06-12;0;2;36324;Commercial;Pickup;yes;0;9.0;z_Highly Rural/ Rural;2022-02-22 18:20:24;complet;dev_integral;299.81
529201050;M;1941-12-01;2;3;145073;Commercial;Van;yes;0;12.0;Highly Urban/ Urban;2022-01-14 04:38:54;complet;dev_integral;308.1
621666580;F;1955-07-04;0;1;15234;Private;Sports Car;no;5;4.0;Highly Urban/ Urban;2022-04-08 21:31:19;complet;dev_express;253.44
250477489;M;1951-04-21;0;0;79941;Private;Pickup;no;0;15.0;Highly Urban/ Urban;2022-04-17 13:11:36;complet;dev_integral;320.46
302594351;M;1939-11-14;0;0;118666;Commercial;Minivan;yes;0;9.0;z_Highly Rural/ Rural;2022-05-14 20:36:25;complet;dev_integral;329.63
96173378;M;1958-11-28;0;0;81849;Commercial;z_SUV;no;6;1.0;Highly Urban/ Urban;2022-02-02 00:42:41;complet;dev_integral;284.13
843851522;M;1954-11-08;1;2;89343;Private;Sports Car;no;0;8.0;Highly Urban/ Urban;2022-05-21 22:35:53;complet;dev_integral;291.56
352733454;M;1991-06-05;0;0;114636;Private;z_SUV;no;2;12.0;Highly Urban/ Urban;2022-03-09 16:06:41;complet;dev_premium;449.91
803824722;F;1975-01-16;2;2;155897;Private;Minivan;no;1;12.0;z_Highly Rural/ Rural;2022-02-27 09:10:31;complet;dev_integral;336.05
108660852;F;1952-08-03;0;2;46751;Private;Minivan;no;0;14.0;Highly Urban/ Urban;2022-04-03 03:15:39;complet;dev_integral;314.85
791714037;F;1969-03-28;0;0;0;Private;Sports Car;no;1;8.0;z_Highly Rural/ Rural;2022-04-02 11:55:09;complet;dev_express;250.86
173536416;F;1972-08-28;1;2;0;Private;Minivan;no;1;1.0;Highly Urban/ Urban;2022-04-08 07:47:22;complet;dev_express;255.96
171256104;F;1932-02-13;0;2;74400;Private;Sports Car;no;0;17.0;Highly Urban/ Urban;2022-05-31 15:46:19;complet;dev_integral;299.88
733718803;F;2000-03-19;0;2;43036;Commercial;Pickup;yes;0;4.0;Highly Urban/ Urban;2022-05-16 17:40:14;complet;dev_integral;298.12
324371208;F;1967-10-30;0;0;123969;Commercial;Panel Truck;no;1;;Highly Urban/ Urban;2022-04-22 13:14:59;complet;dev_integral;286.36
420371060;F;1950-12-11;0;0;28390;Commercial;z_SUV;no;2;11.0;Highly Urban/ Urban;2022-05-30 08:43:49;complet;dev_integral;334.25
591312483;M;1984-10-14;0;3;77949;Private;Pickup;yes;1;11.0;Highly Urban/ Urban;2022-02-01 00:03:49;complet;dev_express;250.29
707481422;F;1994-12-16;0;0;8250;Commercial;Minivan;no;2;1.0;Highly Urban/ Urban;2022-05-31 16:23:24;complet;dev_integral;339.87
828461789;M;1967-07-05;0;0;89968;Commercial;Minivan;no;0;11.0;z_Highly Rural/ Rural;2022-02-16 07:07:53;complet;dev_integral;322.3
681097688;F;1973-02-22;0;1;64122;Private;Minivan;yes;0;20.0;Highly Urban/ Urban;2022-05-21 22:01:47;complet;dev_integral;329.61
65858750;M;1970-07-20;0;0;2289;Private;z_SUV;no;2;1.0;Highly Urban/ Urban;2022-04-26 15:07:49;complet;dev_express;265.7
410548344;M;1947-10-09;0;0;111559;Commercial;Pickup;no;6;;Highly Urban/ Urban;2022-01-14 19:18:02;complet;dev_integral;286.98
485486006;F;1965-02-10;0;0;0;Commercial;Van;no;0;12.0;Highly Urban/ Urban;2022-02-16 23:39:17;complet;dev_express;252.05
897417305;M;1993-05-23;0;0;;Private;Sports Car;no;0;16.0;Highly Urban/ Urban;2022-01-01 22:26:24;complet;dev_express;261.98
726519526;M;1960-05-26;0;3;13337;Private;z_SUV;no;0;1.0;z_Highly Rural/ Rural;2022-01-14 11:21:21;complet;dev_integral;289.28
829430160;F;1968-04-30;0;2;45893;Commercial;Van;yes;0;6.0;Highly Urban/ Urban;2022-05-10 08:25:21;complet;dev_premium;539.36
394231712;F;1941-11-30;0;0;63433;Commercial;Pickup;no;1;;Highly Urban/ Urban;2022-05-02 22:21:52;complet;dev_express;283.26
182169284;F;1998-12-02;3;3;38430;Commercial;Van;no;1;6.0;z_Highly Rural/ Rural;2022-02-10 04:16:56;complet;dev_express;278.29
810329333;M;1970-01-01;0;0;172981;Commercial;Panel Truck;yes;0;13.0;z_Highly Rural/ Rural;2022-01-08 11:44:49;complet;dev_integral;305.83
342803111;F;1938-07-09;0;0;112481;Private;Van;yes;0;10.0;Highly Urban/ Urban;2022-01-12 23:08:43;complet;dev_premium;335.11
